TEXT;SENTIMEN
 setuju terdaftar aplikasi peduli lindungi ;Positif
 lupa scan peduli lindungi ;Positif
 rame buangett peduli lindungi kntl ;Negatif
 min sertifikat bbrp orang anggota keluarga hilang peduli lindungi ;Negatif
 sakit peduli lindungi apk ;Positif
 nonton mas kesel gara cek peduli lindungi nya ketinggalan sampe mnt ngeyel emang orangnya dibilang instal app nya percaya ;Positif
 kak mengunjungi ikea indonesia pengunjung status pedulilindungi berwarna hijau diperbolehkan masuk toko ikea njadi pastikan status peduli lindungi kakak berwarna hijau kak berkunjung toko ikea ;Positif
 peduli lindungi pake shopee ;Positif
 cek peduli lindungi tiket vaksin muncul ;Positif
 zoom peduli lindungi mbank sebangsanya ;Positif
 beneer data nik dll sadar login peduli lindungi emang cuman pakai otp email only udh panik password ketebak untungnya ;Positif
 anak dibawah belom  tetep dilolosin peduli lindungi sih bingung bgt peraturan wakanda ;Negatif
 peduli lindungi sih log pake nomer nunggu kode verifikasi dikirim ;Negatif
 install peduli lindungi dlu ;Positif
 rek lak self swab hasile positif iku sek swab ndek tukang swab sing linked mbek peduli lindungi gak wedi metu ;Positif
  gabisa check peduli lindungi ;Positif
 gaboleh masuk peduli lindungi ;Positif
 blokir aplikasi nini tolong login app peduli lindungi aja susah banget ngak dapet otp ;Negatif
 murmer dtp belinya pake peduli lindungi ;Positif
 golden loss gak scan peduli lindungi ;Positif
 iya masuk aja masi scan peduli lindungi ;Positif
 kepanjangannya kapal nindi peduli lindungi ;Positif
 vaksin  udah vaksin coba deh cek apk peduli lindungi disana udah dapet sertifikat  bingung beneran dapet ;Positif
 iya sih dicek orang mah scan peduli lindungi scan daleman cowok ;Negatif
 peduli lindungi aja ;Positif
 downvote peduli lindungi ;Negatif
 beli mst nunjukin peduli lindungi uni ;Positif
 peduli lindungi ;Positif
 peduli orang gak peduli lindungi ;Positif
 ditnya peduli lindungi koq aman ;Positif
 peduli lindungi cishani wkwk ;Positif
 halo kak adik vaksin udah klaim sertifikatnya aplikasi peduli lindungi aplikasi kai nya pesen tiket tulisannya ;Positif
 cepet rilis peduli lindungi shani ;Positif
 berasa tipu ayah temen nakesnya vaksin  sinovac pas cek peduli lindungi moderna ;Negatif
 vaksin  sertifikat vaksin aplikasi peduli lindungi vaksin  hasil rapid test antigen ;Positif
 liat red engganya peduli lindungi teh gimana ;Positif
 gas rsnd sampe menit ktp isi form website victoria antrian krn terbatas rsnd nnti satpam antrian csnya isi form vaksin wajib download peduli lindungi biar tau batch tgl vaksin smg membantu ;Positif
 down guys yaa aplikasi peduli lindungi shanii shanii gitu wkwkwk ;Negatif
 dahlah gak mempan peduli lindungi shani nya hahhaha ;Negatif
 aplikasi peduli lindungi shani kyany down nih ;Negatif
 aplikasi nya maintenance eror peduli lindungi shani maaf ;Negatif
 apakabar bisnis pcr vaksin bocornya data peduli lindungi ;Negatif
 wkwkwk peduli lindungi rilis ;Positif
 jendral pakai apk peduli lindungi ;Positif
 admin tolong respon vaksin negeri pulang indonesia vaksin login peduli lindungi lengkapi data amp;Negatif
 abis  update aplikasi peduli lindungi cepet gak ;Positif
 beli tiketnya aplikasi dimana masukin nik udah terintegrasi langsung peduli lindungi udah  beli tiket nya langsung tau ;Positif
 fisik kak kakak print peduli lindungi gapapa kak ;Positif
 kalo dibandung anak masuk terkendala peduli lindungi daerah masuk ;Negatif
 udah bisaa nama tiket dot com peduli lindungi beda udah rubah udh sertifikatnyaa hihihii makasih infonya btww ;Positif
 rek melbu lippo darjo nggae peduli lindungi ;Positif
 serem bgt masuk akun peduli lindungi woi login notifikasi apeniih ;Negatif
 dilindungi nsaya bang peduli lindungi ;Negatif
 maleh donlot peduli lindungi maneh cok aneh aneh aee ;Negatif
 udah vaksin  seminggu blm muncul peduli lindungi sertifikat vaksin nya nklaim sertifikat vaksin data ninginku kasar xac ;Negatif
 mks xxi cgv wajib pake peduli lindungi kah ;Positif
 nge cek peduli lindungi udh sertifikat  kali vaksin ;Positif
 info cinepolis lippo jogja kalo nonton pake peduli lindungi ;Positif
 pas udah jam gue ngantri masuk ampe dibantuin pas scan peduli lindungi antrian amp;Positif
 rek royal masuk kudu pake peduli lindungi udah  loss aja thx ;Positif
 peduli lindungi udah bisaa cek lokasi vaksinasi ;Positif
 minggu kemarin kokas check scan peduli lindungi ajaa ;Positif
 koo scan peduli lindungi cuman cek suhu aja ;Positif
 mengunduh aplikasi peduli lindungi pcr test negara keberangkatan bandara kedatangan tes pcr dgn biaya mandiri wna suhu badan derajat celcius ;Positif
 mjb pake scan peduli lindungi   ;Positif
 peduli lindungi shani ;Positif
 kak wajib dicek peduli lindungi hehe ;Positif
 nder bandara pelabuhan wajib ngechek peduli lindungi ;Positif
 sanak pdg pakai peduli lindungi ;Positif
 maju kim sunwoo gue gatakut peduli lindungi ;Positif
 pliss bantu masuk stasiun krl  kah peduli lindungi hijau dom jogja ;Positif
 udah gak ngotak woyy buka app peduli lindungi aja ngelag nya setara ngescan akun sert ;Negatif
 santainya mall gapunya apps peduli lindungi gapake masker hahahaha ;Negatif
 halo butuh sertif vaksin tembus peduli lindungi gausah vaksin murah aja dibayar sertifikat peduli lindungi keperluan administrasi keluarga kerabat tdk divaksin ;Negatif
 aplikasi teruss nkemaren app peduli lindungi app pertanian super app app brin app pertahan menhankam app ekonomi app keuangan menkeu app iwak peyek app ngepinterin dahh ;Negatif
 grup peduli lindungi ;Positif
 masuk mall masuk bandara gak tuh pemeriksaan kayak peduli lindungi sdh spt normal ;Positif
 kali korbannya dispam orang gajel npadahal main judi iseng download peduli kontoli lindungi dipaksa pinjol sales ;Negatif
 mrka sptny egx pdli krn pduli cmn peduli lindungi ;Positif
 kak tria hangker woe apk peduli lindungi cishani ngedown kemaren bgtu ;Negatif
 peduli lindungi jihan smua ;Positif
 hanann peduli lindungi nya kuning belom ncuss ;Negatif
 jog masuk mall pakek peduli lindungi ;Positif
 sumpah wakanda ngapa ribet peduli lindungi sok sok peduli and ngelindungi data warga bocor cor cor cor ;Negatif
 udah tiketnya belom peduli lindungi bisanya udh ;Positif
 pdhl peduli lindungi gak ;Negatif
 user vaksin terdeteksi peduli lindungi ;Positif
 sertifnya app peduli lindungi man ;Positif
 masi gunain peduli lindungi ;Positif
 wkwkwk peduli lindungi ;Positif
  tetep masuk mall gaakan cek peduli lindungi nya abis scan langsung jalan masuk aja mall biar satpamnya ngelirik wkwkwk ;Positif
  akun peduli lindungi scan barcode adek aja bolak mall transportasi ;Positif
 vaksin hobi seneng aja liat sertifikat vaksin peduli lindungi ;Positif
 backdrop journey setlist dllnya kalo samping gate masuk open gate pas masuk open gate mesti scan peduli lindungi scannya pas nuker tiket ;Negatif
 perintegrasian aplikasi memiliki tujuan peduli lindungi contact tracing penyebaran covid ;Positif
 belom  peduli lindungi ijo the perks after covid ;Positif
 wkwkwkwk malu bgt apresiasi trnyt masi satpam beneran ngecek peduli lindungi tmn blm  gbs msk mall trs ngasi liat satpam ketauan dongg wkkwkkwkw gpph bnrn gabole masuk ;Positif
 peduli peduli lindungi ;Positif
 nih butuh peduli lindungi shani wkwkkw ;Positif
 selamat siang kak calon penumpang usia dihari keberangkatan wajib vaksinasi dibuktikan aplikasi peduli lindungi kartu vaksin informasi lengkap syarat perjalanan silakan cek link trims ;Positif
selamat siang nanya vaksin  sertifikat vaksin  muncul peduli lindungi lapornya kemana;Negatif
 ketikan peduli lindungi ;Positif
 tnc nya sih ngandelin check peduli lindungi idk ;Positif
 makasyii selamaat ketemu han xba xba xba xba xba iya kataanya tuh sertif vaksin peduli lindungi aja kalo jaga print dibawa venua pas ;Positif
 jyp peduli lindungi xab njyp peduli lingkungan xef nkeren sih jujur ;Positif
 keren walopun peduli lindungi ;Positif
 kmrn kamis mall blm  peduli lindungi tandanya kuning masuk ;Negatif
 gblok banget ngecek peduli lindungi hrusnya vaksin  tgl oktober percaya aja ama petugas disana vaksin ketiga vaksin hadeh aya aya wae aing mah  ;Negatif
 tolong developer manapun rilis peduli lindungi shani tertolong ;Negatif
 pake peduli lindungi ;Positif
 gambaran kondisi negeri nsemua dipersulit dalih alasan ntermasuk kesehatan dipersulit dalih peduli lindungi kenyataannya nrakyat muak badaiperubahan krisismoralitasdanmentalitaskepemimpinan ;Negatif
 maksut scan peduli lindungi ;Positif
 halo kak berdasarkan satgas penerbangan domestik memiliki vaksin dosis wajib melampirkan hasil negatif tes antigen jam pcr jam mengisi ehac aplikasi peduli lindungi tks boni ;Positif
 trims   n pengen hidup dgn nyaman check peduli lindungi aman pengen sehat ;Positif
 skrg check peduli lindungi panik hahahahah ;Positif
 guys sertif vaksin  keinput peduli lindungi nunggu brp cepet ;Positif
 check gratis check peduli lindungi ;Positif
 alur fancafe peserta memasuki cafe diharapkan kode rahasia registrasi amp;Positif
 coba cek peduli lindungi ;Positif
 ehac domestik bikinnya peduli lindungi nduh aras arasen tenan haha ;Positif
 ehac domestik aja internasional bikin akun peduli lindungi nek verifikasi sertifikat vaksin minggu sblm berangkat ;Positif
 bedanya makanan minuman dipaksa ditinggal meja security anak alasannya udah beli tiket ditinggal bareng security nserba salah security difilter pas beli tiket pake apl peduli lindungi ;Positif
 mjb  selagi akun peduli lindungi kamunya warna hijau gapapa ;Positif
 kemaren gua scan peduli lindungi aja disuruh wkwk ;Positif
 gaada kayaknya coba cek app peduli lindungi data puskesmas menyediakan ;Positif
 mendingan peduli lindungi ;Positif
 kate peduli lindungi ;Positif
 iyakan kalo upload sertifnya bentuk fisik kertas gitu tuh gabisa codenya kayak sertif peduli lindungi ;Positif
